n,n,e,n,n,e,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,x
1992.3,2201.5,2356.8,2552.8,2753.8,2917.4,3938.6,4111.2,4307.2,4622.3,4815.2,4939.1,5145.3,5320.1,5448.8,5639.7,5795.7,5952.4,NaN,NaN,6291.1,NaN,6488.6,6647.1,6811.7,7032,7167,7281.6,7486.8,7639,7752.9,7936.6,8091.9,8256.4,NaN,NaN,8605.5,NaN,8803.9,8961.2,9137.1,9433.9,9588.6,9708.7,9889.6,NaN,10088,10247,10422,NaN,NaN,10781,10930,11047,11230,11386,11554,13311
2066.5,2267.4,2394.3,2630.9,2825,3026.3,4032.7,4184.5,4385.1,4698,4889,5061.8,5228.7,5399,5574.9,5750.1,5894.8,NaN,NaN,6214.7,NaN,6445.2,6598.1,6747,6991.8,7109.1,7245.5,7416.9,7565.6,7719.8,7875.5,8043.5,8195.8,NaN,NaN,8534.1,NaN,8757.5,8908,9088.7,9322.9,9513.9,9670.2,9833.9,NaN,10041,10196,10349,NaN,NaN,10684,10861,11013,11168,11333,11488,11738,13406
