n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,n
1988.9,2282,2520.9,2723.3,2848.7,3044.5,3194.4,3348.9,NaN,NaN,3689.9,NaN,3876.5,4028,4194.1,4471.2,4623.5,4734,4912.4,5063.2,5217.9,NaN,NaN,5532,NaN,5724.2,5876,6045.4,6261.8,6382.7,6492.9,6690.4,6836.2,6946.5,7165.5,7306.3,7415.2,7591.6,7744.6,7903
2207.8,2385.7,2588.9,2790.5,2967.8,3141.3,3289,NaN,NaN,3605.6,NaN,3830.4,3973.7,4123.8,4368.7,4541.5,4696,4853.8,5011,5158.6,NaN,NaN,5472.8,NaN,5677.1,5827.2,5974.7,6219.6,6333.9,6456.9,6610.3,6760.2,6914.2,7066,7233.2,7378.4,7535.4,7695.4,7838.8,7975.8
