n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n
1985,2146,2284.6,2712.5,2890.7,3086.4,3277.2,3402.1,3602.1,3750.4,3904.9,NaN,NaN,4242.4,NaN,4432.8,4584.4,4770.3,4988.1,5115.4,5229.7,5450.1,5571.4
2069.3,2213.3,2388.2,2783.8,2956.6,3157,3345.1,3518.5,3700.2,3845.5,NaN,NaN,4159.5,NaN,4386.2,4531.7,4681.8,4950.1,5059.6,5191,5349.8,5527.1,5657.8
