n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1801.4,1966.3,2126.7,2366,2543.4,2657.1,2913.9,3112.9,3241.6,3444.4,3598.2,3755,NaN,NaN,4116.4,NaN,4317.2,4473.6,4656.6,4872.4,5003.1,5123.1,5325.7,5481.5,5597.3,5776.3,5931.2,6089.7,NaN,NaN,6433.7,NaN,6631.1,6787.9,6951.7,7174.8,7302.9,7416.8,7602.7,NaN,7803.4,7958.9,8141.6,8365.5,8496.3,8612.1,8804.7,8956.8,9116,NaN,NaN,9455.9,NaN,9652.4,9809.9,9986.6,10207,10334,10444,10626,NaN,10823,10989
1834.9,2030.1,2187.7,2440.4,2609.8,2765.6,2983.1,3185.1,3354.3,3542.4,3696.3,NaN,NaN,4016.4,NaN,4265.7,4419.9,4570.7,4835.7,4960.9,5082.7,5245.2,5400.2,5561.4,5718.3,5879.7,6030.8,NaN,NaN,6346.1,NaN,6580.8,6748.7,6888.4,7137.3,7260.9,7382.9,7540.3,NaN,7753.7,7901.8,8057.4,8320.4,8438.4,8572.9,8736.1,8904.1,9059.1,NaN,NaN,9371.3,NaN,9601,9755,9908.3,10169,10282,10412,10566,NaN,10776,10931,11091
