n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n
1983.5,2295.1,2452.7,2609.2,2780.6,2900.6,3216.2,3402.9,3523.8,3716.4,3864.8,4020.8,NaN,NaN,4344.2,NaN,4533.9,4684.3,4848.5,5061.5,5185,5295.2,5490.7,5641,5801.3,NaN,NaN,6126.2,NaN,6317.1,6468.3,6629.2,6842.1,6963.4,7073.6,7254.3,7404.9,7564.4,NaN,NaN,7929.8,8065.1,8180.4,8353.8,8503.9,8675.8,NaN,NaN,9015.3,NaN,9203.8,9357.8,9521.2,9735.2,9856.1,9964.4,10143,NaN,10331,10484,10647,10861,10981,11096,11304,11444,11551,11728,11879,12042,NaN,NaN,12363,NaN,12557,12710,12879,13089,13218,13330,13534,13674,13783,13959,14113,14278,14498,14620,14731,14904,NaN,15094,15250,15419,NaN,NaN,15769,15910,16024,16203,16357,16526,16740,16864,16975,17152,NaN,17346,17502,17679,NaN,NaN,18041,18200,18316,18523
2063.6,2344.1,2514.8,2676,2856.8,3008.2,3283.8,3472.2,3639.9,3809.5,3958.2,NaN,NaN,4273.5,NaN,4488.9,4636.1,4779.3,5028.7,5129.2,5261.3,5414.7,5590.7,5738.3,NaN,NaN,6047.8,NaN,6269.7,6418.4,6562.3,6804.8,6912.5,7039.8,7190.9,7351.1,7502.9,NaN,NaN,7816.8,7996.1,8139.5,8299,8452.4,8598.9,NaN,NaN,8924.5,NaN,9158.7,9302.1,9454,9694.7,9804.7,9931.6,10081,NaN,10282,10434,10581,10823,10931,11056,11218,11374,11517,11689,11829,11978,NaN,NaN,12306,NaN,12510,12656,12808,13053,13159,13291,13450,13605,13749,13904,14061,14209,14457,14589,14695,14848,NaN,15048,15192,15346,NaN,NaN,15670,15839,15986,16144,16306,16455,16705,16814,16943,17095,NaN,17299,17451,17597,NaN,NaN,17930,18111,18274,18438,18594
