g,n,n,n,n,n,n,n,n,n,e,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
2761.1,2967.4,3290.9,3512.5,3660.2,3822.9,4259.2,4398.4,4545.4,4698.5,4862.5,5094.5,5390.7,5637.7,6545.5,6713.9,6823.3,7037.2,7187.4,7297.8,7474.8,7626.5,7787.8,NaN,NaN,8106,NaN,8295.8,8450.4,8616.1,8835.6,8940.2,9071.2,9251.2,9403.3,9564,NaN,NaN,9894.2,NaN,10087,10250,10426,10644,10774,10888,11095,11250,11362,11569,11709,11820,12007,12160,12325,NaN,NaN
2900.2,3031.2,3421.9,3596.9,3761,3887.5,4323.7,4488.1,4665.2,4793.6,4966,5338.9,5502.3,5702.4,6614.9,6786.1,6939,7110.3,7262.9,7417.7,7574.1,7721.2,NaN,NaN,8038.5,NaN,8249.1,8403.2,8549.1,8793.5,8907,9034.9,9191.9,9351.6,9498.2,NaN,NaN,9821.9,NaN,10035,10195,10347,10603,10716,10855,11008,11163,11332,11486,11643,11785,11944,12110,12256,NaN,NaN,12583
