n,n,n,e,n,n,e,n,n,e,n,n,e,n,n,e,n,n,n,e,c,x,d,m,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n
1930.7,2788.6,2995.2,3104.6,3595.1,3774.5,3905.1,4113.7,4229,4437,4742.2,4946.2,5070.6,5683,5863.9,5993.9,6209.1,6477.3,6623.8,6742.1,6942,7096.9,7258.3,7349.5,7762.6,7916.2,8032.4,8284.3,8429.8,8543.8,8736.9,8888.2,9052.3,NaN,NaN,9458.1,NaN,9651.7,9807.6,9990.6,10310,10492,10643
2009.9,2855.6,3060.3,3211.9,3667.5,3849.1,4015,4185.4,4362.5,4546.9,4811.1,5022.7,5196.4,5755.3,5938.2,6106.6,6282.6,6591.8,6701.4,6868.5,7053.4,7197.7,7325.5,7408.1,7836.5,7990.9,8152.5,8356.2,8509.1,8668.9,8838.9,8989.1,NaN,NaN,9312.1,NaN,9605.2,9761.3,9907.6,10168,10382,10550,10715
