n,g,c,n,n,n,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,n,e,a,b,c,x,G,n,e,n,n,e,c,x,n,e
2493.2,2578.9,2709.5,7186.6,7314.3,7509.9,7664,7820.1,7981.9,8517.9,8694.9,8803.6,9024,9199.9,9319.8,9508.3,9656.8,9816.2,9902.5,10135,NaN,10323,10479,10640,10851,10972,11081,11278,11420,11529,11718,11871,12031,NaN,NaN,12368,NaN,12558,12715,12878,13093,13326,13527,13671,13781,13966,14119,14284,14372,14617,NaN,14808,14964,15143,15484,15596,15799,15940,16048,16229,16383,16589,16676
2543,2619.3,2777.5,7235.7,7440.2,7606.6,7731.6,7886,8086.3,8592.5,8763.2,8915.3,9093.8,9271.1,9437.7,9604,9754.4,9880.4,10060,NaN,10283,10429,10576,10815,10924,11044,11204,11350,11495,11650,11823,11969,NaN,NaN,12288,NaN,12512,12663,12813,13055,13288,13446,13598,13745,13908,14068,14215,14349,14528,NaN,14762,14911,15064,15432,15556,15716,15872,16012,16170,16331,16482,16654,16832
