n,n,n,n,n,n,e,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
1962.6,2131,2989.8,3166.9,3312.1,3478.9,3619.6,3961.5,4169.2,4393,4678.2,4870.2,4998.6,5791,6021.8,6155.9,6556.3,6750.1,6892,7129.4,7244.9,7443.4,7652.3,7806.5,7963.3,NaN,NaN,8662.8,8828.2,8946.3,9150.7,9303,9463.8,NaN,NaN,9812.1,NaN,10012,10172,10364,10583,10718,10836,11038,11194,11307,11499,11653,11824,NaN,NaN,12179,NaN,12378,12536,12712,12934,13064,13183,13369,NaN,13573,13730,13908,14229,14374,14492,14704,14844,14958,15142,15298,15465,NaN,NaN,15828
2030.1,2180.4,3035.7,3229,3380.7,3542.9,3727.5,4028.9,4213.4,4458.8,4758.8,4934.3,5107.4,5900,6091.8,6264.4,6632.3,6817.9,7006.2,7202,7363.7,7562.6,7752.1,7902.8,NaN,NaN,8225.3,8736.1,8904.9,9067.8,9253.3,9402.6,NaN,NaN,9730.7,NaN,9958.5,10101,10273,10545,10654,10794,10955,11110,11274,11429,11602,11752,NaN,NaN,12081,NaN,12324,12481,12636,12891,13026,13147,13307,NaN,13523,13678,13843,14084,14323,14453,14616,14774,14921,15077,15245,15397,NaN,NaN,15724,15898
