n,n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1406.4,1968,2131.3,2373.5,3212.2,3371.5,3513.4,3873.1,4053.6,4173,4402.7,4708,4863.6,4981.5,5160.4,5308.7,5466.6,NaN,NaN,5794.3,NaN,5985.2,6137.7,6311.7,6527.2,6654.3,6768.7,6948.1,7097.6,7253.1,NaN,NaN,7587.3,NaN,7780.6,7938.2,8115.6,8339.8,8467.2,8577.8,8785.7,8926.9,9041.1,9240.6,9378.8,9493.2,9676.7,9830.6,9994.1,NaN,NaN,10334,NaN,10528,10683
1445.1,2034.5,2197.8,2432.4,3327.3,3440.9,3622.8,3944.4,4123.1,4289.1,4470.6,4780.7,4939.3,5102.3,5261.4,5405.6,NaN,NaN,5733.6,NaN,5939.1,6089.2,6233.8,6494.6,6599.8,6734.2,6890.4,7047.4,7198.7,NaN,NaN,7507.7,NaN,7732.4,7884.8,8033.9,8294.6,8409.7,8544.6,8694.7,8858.2,8999.5,9158,9324.7,9455.1,9614.2,9778.5,9929.3,NaN,NaN,10244,NaN,10478,10630,10778
