n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c
1984.7,2150.8,2275.5,2785.1,2955.9,3083.6,3295.8,3469.8,3590.8,3802.2,3962.4,4085.7,4263.1,4413.5,4571.6,NaN,NaN,4896.7,NaN,5088.2,5240.2,5413.7,5755.8,5891.7,6003,6184.7,6336,6511.2,NaN,NaN,6829.2,NaN,7021.8,7177.3,7353.5,7565.6,7689.9,7803.9,8005.4,8144.5,8258.2,8450.6,8601.8,8764.5,8852.6,9085.5,NaN,9277.8
2049.4,2218.1,2381.8,2855.9,3024.6,3193.9,3364.4,3544.4,3703.8,3869.2,4037.8,4207.8,4362.9,4510.5,NaN,NaN,4824.6,NaN,5041.5,5188.6,5334.2,5595.9,5828.3,5967.9,6125.8,6286.1,6433.3,NaN,NaN,6763.7,NaN,6973.4,7125.6,7274.3,7528.1,7638.4,7763.5,7920.8,8077.9,8222.4,8375.7,8550.2,8697.7,8825.8,9001.1,NaN,9228.8,9328.3
