n,n,n,n,g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1832.4,1989.2,2131.4,2275,2445.8,2796,3040.2,3212.8,3349.5,3609.1,3819.4,3953.2,4259.9,4431.1,4558.3,4762.5,4918.1,5087,NaN,NaN,5430.6,NaN,5634.3,5796,5975.2,6198.3,6327.7,6444.7,6651.5,6809.1,6924.2,7112,7270.4,7440.1,NaN,NaN,7779.1,NaN,7980.2,8141.6,8322.7,8546,8669.2,8784.1,8977.7,NaN,9179.4,9341.2,9526.8,NaN,NaN,9885.6,10030,10146,10358,10507,10622,10811,NaN,11010,11173,11341,11562,11688,11805,12004,12176,12291,12478,NaN,12680,12844
1869.3,2060.6,2194.9,2332.4,2550,2850.5,3113.4,3281.5,3450,3678.4,3889.4,4068.7,4334.4,4506.8,4676.3,4863.8,5018.4,NaN,NaN,5367.4,NaN,5582.5,5742.7,5902.6,6158.8,6280.1,6404.5,6570.9,6737.3,6886.2,7043.9,7218.8,7367.9,NaN,NaN,7697.2,NaN,7931.6,8080.7,8239.7,8503.5,8619.6,8751.9,8904.8,NaN,9126.6,9288.5,9451.6,NaN,NaN,9780.4,9955.6,10107,10268,10431,10588,10746,NaN,10957,11110,11285,11524,11650,11767,11926,12079,12254,12417,NaN,12624,12787,12944
