n,n,n,n,e,n,n,c,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1877,1967.5,2155.4,2319.8,2452.3,2694.3,2872.6,2988.8,3172.2,3315.5,3472.6,NaN,NaN,3795.8,NaN,3988.9,4141.8,4308.2,4514.9,4656.4,4766.5,4964.5,5109.1,5219.8,5396,5551.3,5706.7,NaN,NaN,6037.3,NaN,6231.6,6389.3,6561.2,6783.4,6910.2,7022.3,7210.9,NaN,7407.5,7565.9,7726.2,NaN,NaN,8060.5,NaN,8257.7,8414.4,8584.1,8804.6,8930.6,9042.7,9223.4,NaN,9423.5,9580.7,9755,NaN,NaN
1925.8,2072.5,2226.1,2387.3,2555.4,2762.6,2943.1,3096.6,3252.4,3413.4,NaN,NaN,3730.7,NaN,3942,4088.5,4242.7,4476,4593.4,4732,4891,5035.2,5182.7,5336.3,5501.4,5650.3,NaN,NaN,5958.6,NaN,6181.5,6337,6488.1,6739.8,6855.1,6987.2,7145.8,NaN,7359.6,7506.7,7664.3,NaN,NaN,7983.3,NaN,8207.9,8362.2,8513.3,8762.8,8888,9008.1,9160,NaN,9370,9530.1,9679.3,NaN,NaN,10007
