n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,n
1797.3,1956.6,2123,2281.1,2451.7,2597.1,2896.9,3045.8,3213.2,3335.1,3588.1,3708.6,3882.2,4068.2,4223.4,4402.6,NaN,NaN,4753.5,NaN,4952.7,5110,5289.1,5513.9,5647.7,5760,5986.1,6131.6,6244.4,6470.5,6609.2,6726.9,6929,7084.7,7254.9
1842.1,2022,2174.9,2350.3,2510,2700.1,3009.4,3118,3278.2,3444.9,3660.3,3826.2,4004.1,4171.2,4320.7,NaN,NaN,4666.7,NaN,4900.8,5058.8,5209.1,5470.9,5580.6,5727.4,5883.6,6060.2,6206.8,6364.2,6553.1,6682.5,6850.6,7036.5,7183.7,7329.4
