-,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1772.1,1970.9,2123.1,2345.8,2498.3,2674.4,2814.1,3568.2,3721.8,3845.8,4048.3,4200.3,4362.6,NaN,NaN,4720.7,NaN,4918,5071.8,5245.5,5467.1,5594.2,5708.2,5910.8,6052.8,6165.4,6352.8,6506.6,6675.8,NaN,NaN,7004.9,NaN,7201.9,7360.5,7528.1,7744.6,8011.9,8153,8268.2,8458.4,8612.3,8779.4,NaN,NaN,9158.5,9296.5,9410.8,9609.9,9754.9,9865.1,10043,10198,10366,10581,10712,10828,11016,NaN,11210,11369,11580,NaN,NaN,11913,NaN,12110,12272,12442,12663,12793,12909,13100,NaN,13297,13461
1806.6,2034.3,2182.1,2445.7,2564.7,2738.8,2917,3645.4,3792.9,3966,4146,4297.8,NaN,NaN,4629.2,NaN,4866.4,5016,5170.5,5422.2,5541.6,5667.9,5828.7,5985.4,6132.5,6287.4,6454.1,6605.1,NaN,NaN,6936.9,NaN,7154.1,7307.8,7459,7705.9,7817.2,8087.2,8231.6,8394.2,8564.8,8714.4,NaN,NaN,9034,9230.2,9371.6,9535.5,9686.7,9833,9990,10145,10300,10546,10655,10791,10949,NaN,11158,11320,11469,NaN,NaN,11838,NaN,12061,12220,12369,12624,12737,12873,13032,NaN,13247,13402,13560
