n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1973.8,2148.4,2284.2,2895.8,3020.2,3211.4,3435.8,3654.2,3781.8,3979.7,4132.9,4288.2,NaN,NaN,4634.8,NaN,4836.7,4989.8,5174,5395.6,5527.8,5647.9,5867.8,6033.5,6152.3,6344.2,6499.1,6666.1,NaN,NaN,7007.9,NaN,7208,7374.3,7546.4,7769.6,7896.8,8011.5,8218.8,8414.1,8532.3,8719.3,8874.2,9058.6,NaN,NaN,9398.2,NaN,9602.3
2044,2220.1,2393.6,2969.8,3144.2,3322.7,3506.6,3725.6,3898.7,4075.2,4232.7,NaN,NaN,4550.4,NaN,4785,4938.2,5090.8,5356.8,5470.2,5603.5,5774.1,5948.5,6110.6,6273.5,6451.2,6597.9,NaN,NaN,6928.8,NaN,7158.8,7318.2,7472.2,7732.7,7843.8,7974,8137.2,8292.6,8490.1,8659.2,8825.5,8975.5,NaN,NaN,9319.5,NaN,9549.5,9698.6
