n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,n
1806.6,1978.2,2126.2,2295.7,2411.9,2610.3,2774.8,2887.5,3068.2,3218.9,3380.4,NaN,NaN,3694.9,NaN,3887.9,4048.2,4211.1,4425.5,4549.5,4660.2,4837.8,NaN,5032.9,5190.8,5378.6,NaN,NaN,5723.5,5865,5976.6,6174.9,6317.5,6426.7,6605.8,6759.2,6919.2,NaN,NaN,7250.4,NaN,7445.8,7601.8,7769.8,7986.9,8113.7,8230.8,8416.4,NaN,8614.7,8771.3,8945,9169.1,9299.4,9415.1,9604.6,9834.4
1850.3,2045.1,2202.2,2361.8,2524.6,2683.9,2846.8,3007.3,3166.6,3316.6,NaN,NaN,3640.5,NaN,3841.2,3996.6,4146.7,4388.9,4497.3,4625.2,4780.5,NaN,4987.2,5140,5286.2,NaN,NaN,5631.4,5794.4,5939.8,6097.8,6246.6,6394.1,6543.9,6703.3,6856.1,NaN,NaN,7174.2,NaN,7398.7,7548.2,7700.9,7947.9,8056.7,8189.2,8351.2,NaN,8562.7,8719.7,8869.4,9126.8,9240.3,9372.3,9535.7,9749.2,9903.3
