n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1984.2,2152.4,2289.2,2524.6,2659,2824.2,3017.5,3169.2,3324.1,NaN,NaN,3672.9,NaN,3867.1,4022.2,4264.7,NaN,NaN,4585.7,NaN,4778.8,4934.7,5107.7,5322.7,5449.5,5566.8,5769.8,5913.2,6025.5,6210.3,6359.9,6519,NaN,NaN,6866.8,NaN,7059.4,7215.1,7389.4
2062.7,2216.3,2396.4,2620.6,2769.7,2938.7,3119.2,3265.9,NaN,NaN,3574.9,NaN,3815.7,3965.1,4122.2,NaN,NaN,4511,NaN,4731.2,4886.7,5035.3,5285.8,5396.2,5527,5685.3,5841.2,5989.4,6146.9,6309.3,6459.6,NaN,NaN,6770.9,NaN,7012.3,7162,7309.1,7538.4
