n,n,n,n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,n
1903.3,1998.8,2684.3,2826.8,3000.3,3753.3,3874.1,4043.8,4203.1,4354.9,4597.3,4903.8,5099.7,5228.8,5490.9,5702.2,5830.2,6049.1,6203.8,6360.1,NaN,NaN,6704.9,NaN,6914.6,7072.7,7264.2,7490.2,7621.5,7738,7946.7,8098.8,8212.4,8403.8,8561.7,8728.2,NaN,NaN,9146.2,9338.7,9456.2,9658.6,9826.5,9946.2,10145,10304,10471,NaN,NaN,10810,NaN,11010,11172,11348,11573,11702,11821,12013,12173,12338,NaN,NaN,12683,NaN,12883,13045,13237,13549,13692,13814,13999,NaN,14201,14367,14553,14782,14910,15034,15270,15428,15543,15752,15901,16016,16213,16369,16554,NaN,NaN,16900,NaN,17104,17284,17411,17623
1960.6,2099.8,2727,2898.6,3068.4,3800.3,3969.7,4107,4273.1,4462.2,4671.8,4976,5169.5,5340.8,5560.6,5775.8,5956.7,6146.8,6302.9,NaN,NaN,6619.8,NaN,6855.7,7019.5,7173.6,7450.4,7562.9,7698.9,7858.4,8030.7,8180.1,8330.8,8507.3,8674.1,NaN,NaN,8994.4,9225.2,9419.1,9583.8,9748.5,9906.4,10071,10254,10404,NaN,NaN,10733,NaN,10959,11113,11271,11528,11661,11777,11941,12119,12276,NaN,NaN,12600,NaN,12834,12991,13145,13419,13626,13769,13935,NaN,14150,14305,14469,14738,14854,14988,15154,15355,15506,15665,15827,15980,16139,16312,16468,NaN,NaN,16810,NaN,17054,17197,17361,17534,17699
