n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e
2866.5,3032,3149.5,3359.8,3521.9,3641.3,3822,3975,4126.6,NaN,NaN,4456.5,NaN,4649.6,4803.2,5416.7,5561,5673.8,5855.7,6007.7,6166.2,NaN,NaN,6568.2,6707.3,6818.4,7000.8,7155.4,7321,7408.2,7638.5,NaN,7831.8,7989.7,8145.4,8358.1,8481.2,8592.2,8769.2,NaN,8961.6,9121.3,9285.6,NaN,NaN,9630.4,9766.2,9879.2,10062,10218,10495,10649,10767,10950,NaN,11145,11301,11465,11686,11813,11928,12124,12264,12376,12559,NaN,12756,12924,13092,13309,13432,13542,13755,13896,14008,14192,14346,14514,NaN,NaN,14883,15058,15172,15396,15539,15652,15832,15988,16203,NaN,NaN,16570,16724,16837
2971.5,3100,3258.7,3434.1,3596.2,3761.4,3925.1,4074.1,NaN,NaN,4378.1,NaN,4601.8,4751.3,4902,5489.3,5640,5793.9,5960.2,6103.5,NaN,NaN,6417.6,6643.7,6783.8,6935.8,7102,7255.2,7383.2,7566.2,NaN,7783.9,7934.9,8085.5,8323.1,8437.7,8558.7,8714.3,NaN,8916.1,9064.3,9220.8,NaN,NaN,9537.8,9703.1,9844.3,10002,10164,10318,10567,10726,10889,NaN,11095,11245,11403,11644,11762,11887,12049,12198,12340,12497,NaN,12706,12861,13022,13272,13379,13505,13664,13829,13975,14130,14297,14446,NaN,NaN,14767,14963,15134,15290,15470,15616,15775,15931,16092,NaN,NaN,16454,16643,16804,16959
