n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1987.7,2232.7,2374.8,2872.6,3059.1,3183.8,3409.1,3612.8,3740.8,3950,4109.2,4259.8,NaN,NaN,4588.2,NaN,4782.1,4935.4,5119.8,5341.8,5470,5584.1,5805.2,5964.7,6077.2,6272,6423.9,6587.4,NaN,NaN,6930.6,NaN,7127.9,7284
2068.1,2295.1,2479,2941.7,3120.6,3291.4,3496.2,3682.8,3858.8,4048.6,4202.5,NaN,NaN,4517.2,NaN,4737.7,4880.7,5038.8,5297.5,5424.6,5547.2,5706.5,5884,6036.5,6198.1,6373.5,6521.7,NaN,NaN,6838.5,NaN,7076.1,7233.1,7381.8
