n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e
1808.1,1979.8,2151.9,2416.8,2586.7,2717.2,3214.6,3372.9,3502.1,3707.6,3860,3984.2,4169.4,4325.2,4475.7,NaN,NaN,4801.8,NaN,5000.3,5158.1,5331.3,5548.5,5680.2,5797.4,6007,6156.4,6273.2,6466.7,6620,6785.3,NaN,NaN,7116,NaN,7312.3,7467.3,7638.5,7856.5,7984.9,8097.3,8301.3,8443.1,8552.6,8737,8892.4,9054.8,NaN,NaN,9376.6,NaN,9571.8,9731.6,9901.5,10120,10256,10372,10554,NaN,10749,10910,11082,NaN,NaN,11456,11629,11741,11927,NaN,12123,12280,12441,12662,12790,12904
1864.4,2060.3,2209.8,2478.9,2649.8,2823.6,3310.4,3446.8,3618.2,3783.7,3936.4,4101,4279,4420.8,NaN,NaN,4731.1,NaN,4950.9,5105.9,5256.7,5506.1,5620.7,5757.3,5918.5,6080,6233.4,6397.9,6567.7,6717.4,NaN,NaN,7038.8,NaN,7262.8,7415.9,7569.1,7815.8,7930.8,8065.7,8210.9,8370.6,8519,8679.1,8837.8,8992.1,NaN,NaN,9309.3,NaN,9524.5,9679.6,9830,10077,10195,10330,10493,NaN,10700,10859,11010,NaN,NaN,11338,11527,11707,11864,NaN,12074,12230,12371,12621,12736,12868,13024
