n,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p
5038.3,5201.9,5366.9,5454.1,6519.5,6686.1,6812.5,7013.3,7159.6,7295.6,7476,7626.7,7781.2,7869.8,8105.1,NaN,8303.4,8458.1,8621.4,8831.3,8956.3,9071,9253.7,9407.7,9571.2,NaN,NaN,9891.4,NaN,10088,10246,10415,10633,10754,10868,11063,11214,11379,NaN,NaN,11706,NaN,11901,12066,12235,12453,12578,12690,12874,NaN,13070,13227,13412,NaN,NaN,13744,NaN,13938,14098,14273,14493,14616,14728,14923,15069,15182,15361,NaN,15558,15718,15919,NaN,NaN
5103.4,5264.8,5425.2,5597.9,6587.7,6759,6916.9,7080.3,7229.8,7414.8,7573.5,7722.8,7844.8,8022.6,NaN,8256.4,8406.7,8556.3,8794,8917.2,9031.9,9192.5,9355.5,9504.2,NaN,NaN,9822.3,NaN,10034,10183,10343,10595,10717,10828,10986,11159,11310,NaN,NaN,11638,NaN,11852,12023,12165,12414,12527,12655,12813,NaN,13020,13174,13324,NaN,NaN,13664,NaN,13888,14057,14197,14454,14564,14694,14845,14997,15143,15301,NaN,15506,15660,15816,NaN,NaN,16169
