n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e
1068.3,1992.7,2285.7,2466.5,2751.3,2910.5,3046.3,3257.3,3441.1,3552.6,3733.4,3880.6,4015.5,NaN,NaN,4350.1,NaN,4540.9,4692.8,4854.9,5066.8,5190.4,5307.2,5527.9,5665,5782.2,5983.5,6133.8,6290.8,NaN,NaN,6625.2,NaN,6812.4,6967.5,7150.5,7369.9,7494.6,7607.8,7789.8,7943.3,8106.3,NaN,NaN,8420.8,NaN,8619.3,8773.4,9182.5,9321.8,9443.5
1106.7,2061.9,2357.7,2528,2846.3,2981.7,3159.7,3326.8,3514.2,3670,3829,3973.6,NaN,NaN,4274.1,NaN,4496.6,4640.3,4785.8,5027.7,5137.2,5264,5423.2,5621.9,5739,5903.4,6082.7,6231.5,NaN,NaN,6539.6,NaN,6765.1,6916.4,7062.3,7325.2,7440.6,7572.9,7729.5,7893,8038.6,NaN,NaN,8371.9,NaN,8565.8,8719.3,8870,9264.9,9392,9486.4
