g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,n,n,e,c,x,d,m,p
1831.3,1987.8,2154.3,2271.5,2652.7,2825.3,2951,3167.6,3345.4,3469.5,3664.9,3819.9,3985.9,NaN,NaN,4323.9,NaN,4521.1,4682.8,4885.8,NaN,NaN,5219.5,NaN,5419.7,5578.8,5761.4,5982.7,6111.1,6226.1,6436.2,6599.2,6715.7,6900,NaN,7099,7256.8,7429.2,NaN,NaN,7784.4,7929.2,8047.2,8259.5,8413.7,8627.9,NaN,NaN,8971.4,NaN,9173.9,9341.5,9655.1,9805.6,9918.8,10129,10300,10416,10606,NaN,10808,10968,11143,11363,11494,11617,11843,11984,12098,12289,NaN,12490,12653,12837,NaN,NaN,13209,13363,13624,13789,13911,14110,14267,14442,NaN,NaN
1883.4,2056.5,2218.4,2376.4,2728.7,2899.4,3065.2,3239.2,3422.3,3590.5,3763.5,3919.7,NaN,NaN,4244.6,NaN,4471,4624,4782.2,NaN,NaN,5146.4,NaN,5368.7,5525,5679.9,5939.2,6056.1,6186.3,6347.3,6510.2,6673.2,6839.3,NaN,7048.6,7201.6,7358.1,NaN,NaN,7696.2,7856.3,8005.5,8168.1,8363,8515.5,NaN,NaN,8884.8,NaN,9122,9276.6,9438.9,9725.3,9881.3,10043,10200,10379,10542,NaN,10754,10916,11069,11322,11456,11572,11738,11914,12060,12223,NaN,12437,12612,12769,NaN,NaN,13094,13281,13444,13700,13865,14031,14208,14372,NaN,NaN,14699
