n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,g,n
1811.7,1967.5,2259.2,2441.3,2595.8,2750.9,2889.2,3195.6,3356,3483.4,3705.1,3887.4,4017.8,4208.9,4365.1,4519.3,4609.3,4851.6,NaN,5047.1,5202.2,5375.2,5593.3,5725.3,5837.5,6053.9,6207.8,6324.8,6547.4,6805.7,6984.8,7138.4,7297.2,NaN,NaN,7631.7,NaN,7824.7,7982.3,8148.8,NaN,NaN,8477.1,NaN,8671.6,8828.3,8997.7,9215.7,9338.7,9451.3,9651.5,9790.2,9900.7,10079,10232,10390,NaN,NaN,10694,10895,11009,11173,11285
1886.1,2038.3,2319.5,2507.7,2654.3,2815.3,2993.8,3286.2,3428.5,3594.3,3849.4,3957.8,4134.2,4307.7,4458.2,4581.6,4765.7,NaN,4995.3,5146,5293.5,5552.8,5667,5799,5958.9,6131.2,6282,6446.5,6765.8,6926.5,7085,7237.2,NaN,NaN,7551.6,NaN,7775.9,7931.5,8078,NaN,NaN,8404.5,NaN,8624.2,8779.5,8924.5,9173.3,9286.4,9417.8,9566.2,9722.7,9867.3,10021,10181,10332,NaN,NaN,10643,10820,10976,11128,11251,11382
