n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1960.4,2145.2,2315.7,2470.1,3084.2,3275.7,3431.6,3596.7,3739.3,4144.5,4325.8,4452.3,4679.2,4851.2,4978.7,5174.6,5327.7,5484.7,NaN,NaN,5825.2,NaN,6026.4,6182.4,6366.6,6583.8,6715.2,6832.7,7021.9,7237.1,7355.8,7543.4,7699.8,7865.5,NaN,NaN,8201.9,NaN,8404.1,8562.2,8736.7,8954.4,9089.7,9205.5,9430.8,9573.8,9688.2,9876.8,NaN,10078,10237,10406,NaN,NaN,10743,NaN,10938,11097,11270,11488,11621,11741,11952,12106,12225,12422,12582,12750,NaN,NaN,13089,NaN,13298,13458,13623,13848,13983,14101,14336,14486,14601,14828,14971,15088,15278,NaN,15475,15632,15811,16033,16159,16278,16458,NaN,16662,16822,17011,NaN,NaN
2024.9,2206.8,2381.9,2518,3171.5,3349.6,3495.2,3660.8,3843.6,4216.2,4401.1,4568.7,4749.5,4930.2,5097.8,5274.7,5426.7,NaN,NaN,5743.4,NaN,5979.6,6128.6,6284.8,6544.2,6659.8,6791.1,6952.9,7109.5,7314.2,7483,7653.3,7805.6,NaN,NaN,8127.2,NaN,8348.8,8510.9,8661.2,8917.1,9028.7,9167.2,9327.9,9499.2,9654.3,9812.7,NaN,10030,10180,10343,NaN,NaN,10670,NaN,10891,11056,11205,11449,11563,11699,11863,12023,12183,12347,12529,12681,NaN,NaN,13014,NaN,13238,13403,13556,13806,13924,14061,14224,14410,14561,14722,14900,15053,15211,NaN,15423,15576,15741,15991,16105,16239,16401,NaN,16611,16770,16924,NaN,NaN,17269
