g,n,n,n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n
3139.5,3231.3,3430.8,3580.3,3730.5,4026.2,4200.9,4319.5,4538.5,4827.4,5000.9,5114.1,5299.9,5452.9,5626.2,NaN,NaN,5945.2,NaN,6144.2,6309.2,6488.6,6709.2,6836.9,6949.4,7161.5,7305.9,7419.9,7612.8,7770.1,7942.9,NaN,NaN,8290.3,NaN,8487.8,8648.8,8821.8,9041.2,9170.5,9476.3,9645.4,9759.6,9971.7,10125,10242,10430,10584,10787,11004,11132,11241,11431,NaN,11628,11788,11986,NaN,NaN,12343
3174.9,3384.2,3498.3,3642.6,3784.4,4099.8,4268.5,4431.9,4604.6,4899.3,5075.6,5231.3,5401,5550.2,NaN,NaN,5884,NaN,6094.5,6248.2,6415.5,6669.6,6781,6913.5,7071.1,7233.9,7381.4,7539.5,7718,7869.7,NaN,NaN,8201.2,NaN,8439.7,8594.2,8746.8,9002.2,9108.5,9244.3,9547.5,9717.5,9881.2,10038,10195,10361,10528,10679,10962,11069,11204,11363,NaN,11577,11733,11891,NaN,NaN,12238,12415
