n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1856.3,1984.4,2144.2,2290.6,2403.3,2707.4,2887.5,3015.6,3269.7,3433.8,3561.2,3747.3,3904.1,4069,NaN,NaN,4394.6,NaN,4591.2,4748.1,4921.2,5139.4,5268.9,5382.2,5594.4,5771.2,5883,6070.2,6224.2,6400.6,NaN,NaN,6725.5,NaN,6920.7,7079,7260.2,7478.8,7604.6,7715.6,7917.3,8060.3,8172.4,8354.7,8510.7,8674.8,NaN,NaN,8999.9,NaN,9194.9,9355.1,9541.6,9757.9,9887.2,10002,10238,10379,10493,10681,10833,11002,NaN,NaN,11343,NaN,11539,11698,11884,12196,12354,12468,12749,12897,13012,13191,13349,13533,13623,13877,14095,14213,14421,14576,14693,14886,15042,15218,15436,15560,15675,15866,NaN,16064,16227,16439,NaN,NaN,16792,17022,17140
1897.3,2059.3,2204.8,2353.9,2517.8,2777.6,2957.1,3125.7,3369.7,3506.6,3687,3848.1,4001,NaN,NaN,4329.2,NaN,4542.2,4684.1,4841.5,5102.3,5214.8,5350.1,5502.3,5664.9,5845.5,6001.6,6162.8,6320,NaN,NaN,6654.8,NaN,6874.2,7024.8,7175,7436.9,7553.3,7682.6,7839.5,8010.4,8134.2,8292.8,8455.8,8609.9,NaN,NaN,8933.3,NaN,9148.9,9299.7,9452.4,9719.6,9832.5,9966.7,10122,10316,10452,10613,10787,10932,NaN,NaN,11257,NaN,11487,11646,11799,12067,12271,12430,12587,12827,12970,13133,13291,13448,13602,13782,13997,14169,14334,14494,14655,14817,14982,15139,15393,15504,15634,15796,NaN,16009,16168,16329,NaN,NaN,16695,16873,17098,17263
