n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x
1989.7,2171.6,2297.7,2527.2,2707.5,2833.1,3028.6,3178.2,3340.4,NaN,NaN,3752.5,3922.8,4039.4,4227.8,4384.1,4548.8,NaN,NaN,4886.2,NaN,5080.8,5238.5,5394.9,5612.9,5740.9,5852.9,6036.3,6191.5,6360.6,NaN,NaN,6707.2,6848.3,6961.4,7150,7321.8
2056.8,2239.2,2404.2,2599.8,2781.7,2952.4,3124.9,3276.7,NaN,NaN,3603.2,3821,3996.9,4167.3,4332.6,4483.4,NaN,NaN,4810.1,NaN,5032.2,5178.4,5340.9,5575,5688.6,5820.6,5976.8,6139.8,6291.7,NaN,NaN,6606.4,6777.4,6926,7088.9,7309.1,7353
