n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a
1967.5,2117.4,2265.3,2422.5,3007.9,3169.8,3285.4,3490.6,3642.3,3807.4,NaN,NaN,4138.2,NaN,4336.1,4490,5531.1,5806.7,5997.7,6147.9,6306.8,NaN,NaN,6632.3,NaN,6826.6,6985.1,7151.2,7367.9,7491.5,7602.5,7787.2,7940.2,8091.6,NaN,NaN,8418,NaN,8612.9,8769.5,8936,9148.9,9270.1,9381.7,9564.6,NaN,9758.1,9913.6,10079,10299,10421,10531,10748,10893,11001,11178,11333,11497,NaN,NaN,11841,11987,12099,12355,12500,12612,12794,NaN,12989,13150,13319,13537,13670,13785,13989,14132,14243,14433,NaN,14627,14785,14986,NaN,NaN,15339,15516,15631,15816
2029.1,2172.2,2325.4,2526.2,3076,3244.2,3406.4,3590.8,3745.4,NaN,NaN,4060.4,NaN,4288.5,4433.8,4583.9,5751.1,5926.6,6098.7,6250.6,NaN,NaN,6561.2,NaN,6780,6930.2,7079.7,7332.7,7441.2,7569.4,7721.2,7884.9,8040.8,NaN,NaN,8348.9,NaN,8564.2,8719.5,8872.9,9111.5,9222.9,9348.3,9500.5,NaN,9713.6,9859.9,10013,10259,10372,10495,10647,10820,10971,11123,11284,11434,NaN,NaN,11756,11912,12065,12219,12428,12578,12735,NaN,12942,13099,13248,13500,13612,13748,13907,14064,14210,14365,NaN,14580,14730,14887,NaN,NaN,15243,15408,15591,15752,15967
