n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,n,n,e,n
1989.7,2253.5,2589.3,3748,3915,4095.9,4409,4581.2,4721.8,4962.8,5086.8,5259.4,5490.6,5667.9,5783.8,5964.2,6117.3,6282.3,NaN,NaN,6607,NaN,6805.2,6964.5,7126,7344.5,7468.6,7582.9,7787.8,7931,8043.1,8246.2,8383.3,8567.3,8764.9,8881.9,9093.5,9247.9,9361.3,9556.8,9710,9883.6,10103,10227,10341,10526,NaN,10721,10888,11060,NaN,NaN,11445,11594,11710,11888,12046,12215,12434,12558,12675,12857,NaN,13063,13220,13396,13617,13749,13869,14084,14257,14377,14566,14722,14928,NaN,NaN,15289,15434,15551,15738,15894,16073,NaN,NaN,16422,NaN,16616,16776,17048,17196,17326,17450,17717,17938,18064,18280
2151.5,2463.5,2675,3809.8,3986.7,4170.2,4483,4649.4,4827.3,5035.8,5202.9,5376.7,5563.9,5744.6,5902.5,6069.2,6214.1,NaN,NaN,6551.7,NaN,6756.5,6905.6,7064.9,7312.8,7421.2,7544.2,7704.7,7861.3,8008.8,8160.4,8320.7,8456.7,8660.2,8842.2,9009.6,9172.1,9325.7,9486.7,9663.7,9808.2,10064,10180,10303,10465,NaN,10672,10832,10988,NaN,NaN,11324,11519,11669,11830,11992,12149,12398,12507,12631,12801,NaN,13004,13171,13319,13577,13694,13827,13993,14158,14338,14503,14669,14823,NaN,NaN,15190,15369,15513,15678,15841,15997,NaN,NaN,16330,NaN,16568,16718,16879,17150,17273,17401,17575,17789,18013,18182,18356
