n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,d,m,p,g,n,n,e,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
5241.7,5420.4,5551,5847.9,6008.1,6141.1,6360,6507.1,6656.8,NaN,NaN,6984.5,NaN,7175.2,7328.5,7500.9,7714.3,7838.8,7954.3,8141.8,8289,8448.4,NaN,NaN,8771.7,8963.7,NaN,NaN,9297.5,9511,9631.9,9743,9938,10091,10747,10893,11005,11205,11348,11459,11639,11791,11956,NaN,NaN,12273,NaN,12469,12628,12811,13037,13154,13264,13466,13604,13715,13926,14070,14183,14368,14522,14684,NaN,NaN,15020,NaN,15214,15369
5305.6,5483.6,5659.6,5913.6,6080.6,6253,6453.9,6602.8,NaN,NaN,6906.7,NaN,7126.4,7277.6,7422.1,7675.8,7783.2,7915,8073.5,8242.2,8384,NaN,NaN,8712.5,8919.7,NaN,NaN,9214.8,9470.7,9583.3,9706.7,9860.7,10035,10189,10819,10967,11122,11275,11421,11576,11740,11888,NaN,NaN,12205,NaN,12417,12571,12724,12988,13115,13227,13383,13552,13679,13830,13995,14145,14299,14470,14622,NaN,NaN,14934,NaN,15164,15310,15470
