n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n
1844.6,1990.6,2142.1,2292.8,2417.6,2652.4,2823.9,2941.3,3135,3288.4,3450.9,NaN,NaN,3780.7,NaN,3979.5,4137.5,4305.8,4528.7,4654.5,4767.7,4972.5,5124.3,5236.7,5418.4,5573,5732.7,NaN,NaN,6055.1,NaN,6250,6407.8,6577.3,6795.5,6921.5,7036.6,7217.7,NaN,7415.3,7573,7765.9,NaN,NaN,8118.7,8258.7,8373.1,8554.8,8711.5,8876.2,9096.8,9219.3,9331.8,9518.7,NaN,9713.4,9872.4,10038,10263,10391,10509,10690,NaN,10888,11049,11215,11436,11567,11680,11866,12022,12183,NaN,NaN,12529,12665,12778,12960,NaN,13159,13320,13490,13716,13846,13962,14147,NaN,14349,14513,14689,14916,15042,15158,15341,NaN,15542,15703,15873,NaN,NaN,16271,16428,16546,16820,16963,17077,17266,17426,17597,NaN,NaN,17947,NaN,18145,18306,18486,18782,18951,19065,19250,NaN,19452,19611,19794,NaN,NaN,20161,20303,20429,20695
1887.1,2083.5,2210.9,2363.2,2526.7,2727,2902.1,3061.8,3241.3,3385.3,NaN,NaN,3708.9,NaN,3930,4087,4236.9,4490.8,4605.3,4732.9,4891,5048.5,5199.5,5357.4,5522.2,5672.4,NaN,NaN,5989,NaN,6202.6,6353.2,6504.2,6758.6,6873.8,7003.8,7160.4,NaN,7366.2,7519.3,7669.8,NaN,NaN,8025.2,8208.2,8336.2,8505.7,8676.3,8810.1,9059.6,9172.8,9301.2,9456.8,NaN,9664.2,9835.5,9973.3,10225,10350,10469,10651,NaN,10843,10997,11151,11397,11511,11645,11822,11969,12124,NaN,NaN,12439,12601,12745,12908,NaN,13109,13266,13416,13676,13793,13924,14086,NaN,14298,14453,14613,14872,14994,15120,15281,NaN,15491,15649,15802,NaN,NaN,16129,16341,16508,16671,16904,17043,17199,17372,17527,NaN,NaN,17859,NaN,18091,18253,18403,18668,18856,19029,19191,NaN,19402,19578,19713,NaN,NaN,20059,20236,20382,20556,20767
