n,n,n,n,n,e,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n,e
1867.4,1986.6,2142.9,2369.3,2551.6,2686.6,3458.7,3634.9,3797.1,4321.3,4460.3,4621.7,4738.7,4969.3,5139.1,5259.4,5455.1,5608.9,5767.8,NaN,NaN,6106.5,NaN,6299.9,6455.8,6620.5,6836.6,6964.8,7080.6,7276.7,7427.8,7593.4,NaN,NaN,7942.6,NaN,8139,8292.8,8474.2,8692.5,8817.8,8928.2,9132.8,9279.9,9392.6,9601.1,9744.5,9855.2,10034,10186,10372,NaN,NaN,10705,NaN,10903,11135,11275,11384,11566,11723,11858,NaN,NaN,12233,12393,12507,12689,NaN,12883,13039,13207,13426,13552,13664,13854,NaN,14052,14213,14416,14504
1912.7,2060.9,2206,2433.8,2589.9,2784.3,3521.9,3695.7,3900.7,4399,4534.7,4689.4,4845.4,5046.6,5210.2,5381.2,5559.4,5707.4,NaN,NaN,6022.5,NaN,6250.3,6403.5,6552.8,6796.2,6912.7,7040.6,7200.3,7370.3,7525.4,NaN,NaN,7850,NaN,8085.7,8238,8393.5,8655.7,8766.2,8893.4,9048.3,9209.8,9357.8,9516.8,9675.1,9822.2,9977.1,10139,10285,NaN,NaN,10633,NaN,10851,10985,11206,11352,11506,11673,11822,NaN,NaN,12138,12302,12469,12629,NaN,12833,12989,13140,13384,13501,13625,13788,NaN,14000,14160,14313,14483,14663
