n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c
1992.4,2988.9,3286.1,3620.3,3808.5,3964.1,4216.2,4406,4533.5,4737,4892.7,5050.2,NaN,NaN,5401.8,NaN,5602.4,5758.8,5941.3,6270.5,6515.1,6629.9,6821.9,6980.1,7142.9,NaN,NaN,7488.4,NaN,7687.8,7846.3,8033.6,8343,8499.6,8613.3,8811.5,8968.1,9132.2,NaN,NaN,9470.5,NaN,9670.4,9829.3,10018,10247,10380,10501,10716,10876,10993,11183
2066.6,3072.5,3442.4,3694.3,3880.8,4071.2,4287.5,4482.9,4662.3,4840.6,4992.7,NaN,NaN,5338.8,NaN,5552,5702.2,5859.3,6146.9,6345.4,6592.5,6754.9,6930.6,7084.3,NaN,NaN,7427.9,NaN,7637.6,7795.1,7946.5,8213.6,8423.3,8584.2,8730,8919.8,9069.6,NaN,NaN,9415,NaN,9621.2,9777.8,9930.5,10203,10322,10464,10627,10802,10962,11118,11290
