n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1989.7,2158.3,2296.8,2623.3,2772.8,2881,3061,3208.7,3360.9,NaN,NaN,3684.1,NaN,3864.2,4027.4,4185.6,4398.4,4525.4,4639.5,4819.4,4971.5,5131.4,NaN,NaN,5476.8,NaN,5668.4,5825.5,6002.9,6223,6349.2,6468.3
2060.3,2226.3,2403,2696,2844.6,2998.9,3164,3304,NaN,NaN,3616.9,NaN,3827.4,3981.3,4124.2,4360.8,4466.8,4595.8,4755.3,4922.3,5068.5,NaN,NaN,5381.2,NaN,5620.5,5770.2,5922.6,6181.1,6292.3,6418.7,6587.3
