-,n,n,n,n,G,G,n,e,n,n,e,c,x,d,m,p,a,b,c,G,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1245.3,1856,1975.2,2132.7,2306.5,2456.3,3586.2,3881.2,4040,4271.3,4470.4,4585.2,4771.3,4920.7,5075.3,NaN,NaN,5399.4,NaN,5591,5745.3,6141,6266.4,6378.2,6586.2,6725.3,6835.5,7016.2,7167.6,7328.2,NaN,NaN,7655.8,NaN,7847.7,8004.5,8170.2,8386.3,8512.4,8624.2,8824.3,8966.2,9077.7,9252.6,9405.2,9566.7,NaN,NaN,9899.9,NaN,10095,10252,10432,10645,10771
1338.5,1898.2,2042.2,2202.4,2374,2710.9,3808.6,3975.2,4148.6,4340.5,4542.3,4711.5,4870.5,5017.6,NaN,NaN,5331.9,NaN,5544.9,5699.7,6107.2,6214.6,6341.8,6500.2,6657.5,6802.9,6953.6,7116.8,7265.9,NaN,NaN,7579.4,NaN,7804.5,7958.3,8102.8,8348,8461.4,8591.5,8789.9,8895.3,9042.5,9194.5,9358.1,9507.4,NaN,NaN,9838.2,NaN,10047,10198,10353,10609,10740,10848
