n,n,n,n,e,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x
1798.8,1975.9,2162,2331,2472.2,3044.5,3339.6,3560.7,3731.7,3852,4043.3,4195.5,4346.1,NaN,NaN,4681.1,NaN,4873.3,5025.3,5199.5,5417.2,5541.5,5653.8,5859.4,6000.5,6118.5,6296.1,6447.4,6609.9,NaN,NaN,6944.5,NaN,7136.6,7293.9,7471.8,7686.2,7915.4,8054.3,8168.7,8353.6,8508,8668.8,NaN,NaN,9003.7,NaN,9215.2,9364.8
1853.2,2064.6,2213.9,2389.1,2579.4,3277.6,3444.3,3631.7,3807.4,3975.2,4143.8,4291.4,NaN,NaN,4598.8,NaN,4823.8,4967.1,5124.7,5377.8,5486.8,5617,5775.7,5940.8,6079.3,6240.9,6396.9,6544.3,NaN,NaN,6864.3,NaN,7088.9,7242.8,7391.7,7649.6,7758.8,7985.1,8132.2,8285.9,8458.8,8603.7,NaN,NaN,8922.7,NaN,9150,9310.1,9460.9
