n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e
1787.9,1974.4,2133.7,2688.1,2863.3,3020.8,3183.8,3324.8,3669.2,3835.8,3969.3,4187.8,4363.6,4481.5,4668,4824.3,4978.2,NaN,NaN,5315.3,NaN,5517.9,5675.4,5848.6,6066.4,6197,6311.6,6515.7,6664.2,6778.2,6976.4,7131.4,7301.8,NaN,NaN,7641.9,NaN,7840.9,8001.4,8185.1,8404.6,8534.8,8651.3,8843.3,NaN,9042.8,9202.2,9370.5,9592.6,9723.5,9838.2,10022,NaN,10219,10381,10552,NaN,NaN,10885,NaN,11084,11246,11423,11642,11770,11886,12071,NaN,12271,12434,12630,NaN,NaN,12966,NaN,13169,13337,13528,13753,13884,14003
1834,2043,2192.8,2736.8,2936.7,3087.9,3252.3,3434.4,3738.7,3908.4,4091.1,4262.8,4441.6,4601.8,4777,4922.5,NaN,NaN,5236.3,NaN,5468.8,5619.8,5775.2,6029.9,6160.8,6274.2,6435,6603.8,6742.7,6900.2,7094.9,7243.7,NaN,NaN,7581.7,NaN,7790.6,7942.2,8099.2,8369,8489.5,8611.9,8774.9,NaN,8991.7,9147.1,9302.7,9549,9675.8,9802.2,9959,NaN,10170,10321,10484,NaN,NaN,10807,NaN,11033,11189,11346,11603,11726,11849,12009,NaN,12220,12383,12551,NaN,NaN,12888,NaN,13117,13272,13438,13711,13839,13965,14123
