n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1803,1968.5,2605.3,2765.6,2905.8,3173.6,3363.6,3484.3,3772.5,3927.3,4046,4230.1,4378.8,4533.7,NaN,NaN,4859.2,NaN,5052.5,5206.6,5377,5666.4,5825.8,5941,6119.2,6271.7,6425,NaN,NaN,6750.1,NaN,6943,7099,7270.2,7489.9,7616.1,7728.8,7933,8076.1,8185.9,8366.6,8517.7,8677.1,NaN,NaN,8994.6,NaN,9189.4,9344,9519.2,9731.7,9858.7,9968.9,10178,10318,10428,10719,10883,10998,11217,11366,11476,11654,11807,11977,NaN,NaN,12329,NaN,12521,12678
1839.2,2022.2,2666.5,2833.9,3011,3241.9,3434.1,3597.6,3867,3999.9,4168.2,4336.8,4472.6,NaN,NaN,4788.6,NaN,5006.4,5150.9,5303,5569.6,5736.4,5902.6,6059.2,6224.3,6378.5,NaN,NaN,6675.6,NaN,6896.1,7040.3,7194.8,7443.8,7561,7694.8,7848.4,8002.4,8154.8,8304.7,8464.2,8616.6,NaN,NaN,8928.5,NaN,9140.1,9291.7,9440.7,9694.8,9804,9930.8,10084,10248,10391,10546,10790,10952,11121,11313,11440,11594,11754,11904,NaN,NaN,12228,NaN,12474,12621,12775
