n,o,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
2633.5,2911,6798,6976.9,7093.3,7517.9,7685.9,7806.6,8021.5,8168.3,8295.9,8483.8,8634.7,8792.2,NaN,NaN,9108,NaN,9297.1,9450.9,9616.6,9835.4,9962.9,10077
2838.8,2968.7,6873.8,7047.3,7205.2,7593.1,7760.7,7927.4,8095.5,8242.2,8419.4,8589.4,8732.4,NaN,NaN,9050.4,NaN,9252.4,9395.4,9548.4,9794.3,9910.1,10044,10197
