n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x
1986.3,2144.1,2279.1,2503.3,2996.3,3163.9,3285.4,3464.4,3618,3776.9,NaN,NaN,4107.1,NaN,4302.5,4458.6,4631.1,4851,4977.1,5088.8,5275.9,NaN,5473.7,5631.7,5801.5,NaN,NaN,6130.5,NaN,6328.5,6484.8,6664.3,6997.2,7277,7419.3,7536.2,7733.2,7886.9
2113.6,2214.9,2390.1,2573.2,3063.4,3237.9,3406.9,3566.6,3717.6,NaN,NaN,4034.8,NaN,4253.7,4404.9,4556.9,4813.4,4925.5,5056.6,5211.3,NaN,5428,5581.3,5738.4,NaN,NaN,6056,NaN,6279.3,6434.7,6585,6845.2,7064,7349.8,7490.9,7658.3,7839.8,7985.9
