n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1842.3,1985.6,2135.1,2301,2413.8,2629,2806,2918.7,3148.2,3309.3,3426,3609.1,3766.6,3918.8,NaN,NaN,4248.4,NaN,4445.3,4602.8,4829.6,NaN,NaN,5152.3,NaN,5349.2,5508.9,5691.4,6019.8,6170.8,6285.5,6483.9,6637.1,6746.8,6927.2,7080.2,7235.5,7452.3,7576.4,7688.2,7874.7,8028.1,8188.7,NaN,NaN,8520.3,NaN,8716.2,8878.5,9066.9,9282.7,9407.6,9517,9705.1,NaN,9900,10060,10220,10440,10560,10672,10854,NaN,11049,11207,11366,NaN,NaN,11723,11873,11993,12177,NaN,12376,12534,12714,12803,13057,13204,13317,13531,13671,13786,13977,14132,14308,NaN,NaN,14647,NaN,14842,15002,15167,15386,15506,15619,15803,NaN,16002,16160,16339,NaN,NaN,16712,16881,16997
1890.9,2068.6,2208.7,2369,2522.8,2696.7,2883.2,3035.9,3213.4,3381.6,3545,3715.5,3863.4,NaN,NaN,4179.6,NaN,4395.8,4548.6,4701.1,NaN,NaN,5082,NaN,5300.2,5452.4,5605.2,5867.5,6088.6,6244.5,6406.8,6554.7,6711.9,6868.9,7023.8,7177.8,7415.3,7528.2,7652.1,7807.3,7976.7,8125.5,NaN,NaN,8441.8,NaN,8666,8824.6,8973.7,9245.3,9354.7,9480.7,9641.6,NaN,9850.8,10001,10156,10399,10510,10639,10794,NaN,11002,11155,11302,NaN,NaN,11622,11789,11948,12112,NaN,12325,12478,12628,12778,12959,13132,13284,13447,13605,13747,13910,14075,14228,NaN,NaN,14564,NaN,14792,14946,15100,15343,15458,15577,15740,NaN,15952,16098,16255,NaN,NaN,16615,16784,16958,17115
