n,g,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1902.6,1985.1,2484.7,2630.8,2792.2,2954.4,3088.2,3942.3,4119.5,4245.2,4455.2,4610.4,4732.4,4916.9,5066.5,5225.4,NaN,NaN,5554.6,NaN,5756,5910.7,6076.6,6293.3,6420,6535.7,6740.5,6881.7,6994.5,7182.7,7345.4,7524.4,NaN,NaN,7870,NaN,8069.8,8225.3
1935.7,2024.7,2533.3,2705.6,2855.1,3021.8,3194.6,4014.3,4184.7,4355.3,4527.2,4683.4,4856,5014.8,5166,NaN,NaN,5489.7,NaN,5704.7,5860.5,6018.8,6259.5,6366.8,6496.9,6657.5,6809.7,6960.6,7113,7292,7444.3,NaN,NaN,7778.3,NaN,8018.6,8177.9,8323.8
