n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,n,n,e,n,n,e,c,x,n
2832.1,3002.2,3111.8,3431.8,3594.7,3716.2,3914.8,4064.1,4224.2,NaN,NaN,4549.4,NaN,4743.2,4896,5064.1,5276.7,5398,5509.8,5712.8,5851.6,5962.9,6138.3,6290.3,6444.2,NaN,NaN,6765.8,NaN,6956.9,7111.5,7280.5,7496.9,7617.4,7729.9,7932,8075,8186.9,8370.2,8520.2,8680.5,8768.7,9010.9,9258,9393.5,9506.1,9714,9857.6,9968,10151,10309,10466
2902.2,3070.9,3221.7,3500.3,3669.2,3831.9,4014.5,4158.3,NaN,NaN,4475.5,NaN,4699.4,4843.6,4992.3,5239.9,5348.9,5471.3,5631.7,5784,5923.2,6081.4,6240.7,6387.7,NaN,NaN,6696.4,NaN,6910.7,7061.4,7212,7458.2,7570.5,7692.5,7849.9,8003.6,8151.2,8306.5,8469.3,8617.8,8747.3,8925.8,9154.2,9342.7,9473.6,9628.8,9790.5,9933,10089,10258,10407,10533
