n,n,n,n,d,m,p,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,n,e,n,n,e,c,x
6612,6754.7,7054.5,7172.4,7333.8,NaN,NaN,7696,7848.5,7980.9,8213.1,8415.7,8525.6,8701.7,9002,9313.3,9572,9685.8,9846.1,10031,10184,10347,NaN,NaN,10690,NaN,10885,11048,11250,11545,11692,11806,12003,12158,12274,12457,12610
6656.4,6981.9,7122.3,7262.2,NaN,NaN,7622.3,7772.8,7920.2,8081.1,8283.5,8484.7,8642.7,8811.5,9260.4,9432,9646,9796,9969.7,10132,10282,NaN,NaN,10605,NaN,10832,10993,11142,11396,11617,11769,11924,12073,12235,12394,12552,12707
