n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n
2379.5,2570.4,2683.7,2955,3132.2,3267.6,3462.8,3619.9,3776.7,NaN,NaN,4115.1,NaN,4314.6,4471.9,4648,4865,4992.8,5107.6,5315.8,5460.7,5575.5,5767.8,5922.9,6084.6,NaN,NaN,6442.5,6582.4,6696.2,6894.2,7050.5,7215.5,NaN,NaN,7554.5,NaN,7750.6,7912.4,8081.3,8303.9,8431.3,8542.2,8725.7,NaN,8922.2,9084.4,9261.9,9482.6,9608.1,9719.8,9930.7,10087,10211,10448,10603,10716,10902,11057,11240,NaN,NaN,11607,11753,11874,12055,NaN,12252,12414,12585,NaN,NaN,12954,13102,13217,13475,13659,13771,13955,NaN,14154,14312,14481,14707,14837,14955,15143,NaN,15342,15501,15702,NaN,NaN,16057,16198,16319,16555
2454.9,2640.8,2793.3,3030.8,3209.4,3385.8,3571.4,3720.6,NaN,NaN,4047.9,NaN,4268.2,4420.2,4572.6,4827.7,4956.4,5067.2,5245.3,5391.6,5538.2,5700.6,5887,6037.9,NaN,NaN,6341.8,6513.9,6660.9,6817.9,6998.5,7147.4,NaN,NaN,7479.6,NaN,7703.1,7858.3,8013.8,8267.1,8379.5,8508.1,8660.3,NaN,8876.2,9025.2,9198.1,9445,9570.1,9686.5,9844.2,10005,10163,10337,10522,10683,10842,11025,11181,NaN,NaN,11503,11681,11833,11998,NaN,12202,12380,12518,NaN,NaN,12856,13029,13181,13337,13551,13740,13911,NaN,14106,14257,14408,14665,14802,14914,15077,NaN,15291,15470,15605,NaN,NaN,15971,16128,16278,16444,16626
