n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1875.4,2151.8,2427.6,2703.5,2876.3,2992.8,3214.6,3368.9,3499.7,3704.5,3856.8,4030.2,NaN,NaN,4371.7,NaN,4573.7,4728.8,4905.9,5126.4,5250.9,5369
2073.4,2219.8,2503.8,2778.8,2945.8,3107.7,3333.8,3444.6,3620.6,3806.2,3956.1,NaN,NaN,4297,NaN,4521.6,4676.1,4831.6,5085.3,5198.5,5326.7,5490.3
