n,g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,n
1865.9,1979.6,2245,2404.4,2562.8,2692.4,3326.2,3496.5,3622.9,3860,4038.2,4157,4342.5,4495,4654.9,NaN,NaN,4985.4,NaN,5176.8,5330.6,5496.6,5711.6,5837.2,5949.8,6160,6319.2,6429.1,6614.2,6764.9,6920.6,NaN,NaN,7258.3,NaN,7451.6,7609.8,7775.2,7991.8,8115.2,8226.4,8425.9,8570,8682.5,8864.2,9018.2
1903.3,2094,2325.8,2470.8,2629.4,2800.3,3400.5,3567,3727.4,3929.7,4109.8,4272.1,4441.6,4593,NaN,NaN,4914.7,NaN,5131.3,5280.5,5425.6,5673.8,5784.4,5917.2,6067.4,6243.3,6393.2,6551.3,6714.2,6863.4,NaN,NaN,7177,NaN,7402.9,7558,7705.8,7954,8064.2,8192.9,8345.4,8497.9,8649,8803.5,8966.2,9065.6
