-,-,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1983.6,2591,2784.1,2953,3115.5,3488.4,3656.8,3801.7,4439.2,4583.7,4721.6,4928.6,5079.4,5246.8,NaN,NaN,5586.7,NaN,5786,5945.9,6136.1,6480.9,6636.3,6750.3,6934.6,7085.6,7257.2,NaN,NaN,7600.8,NaN,7790.5,7948.7,8118.7,8335.2,8455.6,8568.2,8746,8900.3,9064.1,NaN,NaN,9399,NaN,9592.8,9749.4,9923.2,10138,10266,10377,10565,NaN,10760,10917,11107,NaN,NaN,11438,NaN,11634,11792,11967,12185,12312,12423,12608,NaN,12803,12963
2014,2631.8,2847.8,3022.4,3164.7,3551.4,3720.3,3903.3,4502,4653.9,4840.8,5029,5177.7,NaN,NaN,5503.2,NaN,5739,5890.5,6043.5,6310,6555.5,6710.2,6874.9,7031.3,7180.7,NaN,NaN,7512.6,NaN,7747.7,7892.6,8047.9,8298.1,8401,8531,8685.8,8847.5,8999,NaN,NaN,9316.8,NaN,9545.1,9696.1,9847.4,10098,10209,10343,10500,NaN,10710,10862,11019,NaN,NaN,11364,NaN,11585,11734,11888,12145,12257,12389,12544,NaN,12755,12913,13062
