n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1814.7,1976,2133.8,2397.6,2714.7,2855.3,3000.2,3211.2,3384.6,3510.8,3723.3,3877.3,4066.9,NaN,NaN,4396.8,NaN,4595.6,4747.6,4932.7,5153.5,5278.8,5388.2,5592.2,5737.2,5852.2,6040.5,6191,6378.1,NaN,NaN,6717.4,NaN,6913.8,7073.1,7252.5
1852.6,2043.3,2195.3,2470.1,2810.9,2952.1,3107.6,3301.5,3458.8,3632.7,3824.1,3974,NaN,NaN,4323.6,NaN,4543.7,4697,4844.5,5109.8,5224.6,5351.4,5513.2,5663.1,5813.8,5974.7,6139,6287.8,NaN,NaN,6629.2,NaN,6863,7020.2,7169.3,7363.5
