n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,d,m,p,n,e,n,n,e,c,x,g,n,n,e,a,b,c
1992.2,2181.4,2441.6,2764.8,3100.7,3295.4,3632.7,3825,3945.4,4135.5,4289.5,4451.1,NaN,NaN,4793.4,NaN,4992.7,5142.2,5328.8,5542.5,5666.4,5784,5986.9,6134.1,6250.2,6439.9,6592,6752.9,NaN,NaN,7107.3,NaN,7305,7460.8,7634.5,7851.4,7980.3,8095.7,8311.8,8456.8,8572.2,8757.7,8911.8,9068.5,NaN,NaN,9409.6,NaN,9604.3,9760.6,9946.2,10243,10366,NaN,NaN,10714,10988,11197,11335,11450,11638,11792,11951,12174,12297,12409,12596,NaN,12803
2100.9,2239.3,2511.4,2832.4,3169,3516.8,3698.2,3896.9,4061.4,4236.1,4384.5,NaN,NaN,4709.5,NaN,4942.9,5090.7,5242.6,5504.8,5615.1,5744.9,5903.2,6057.5,6209.8,6368.3,6540.9,6690.3,NaN,NaN,7010.7,NaN,7253.1,7405.6,7558.2,7812.3,7925,8058.5,8215.9,8379.8,8533.9,8691.2,8855,9007.4,NaN,NaN,9318.5,NaN,9555.3,9704.1,9858.1,10120,10326,NaN,NaN,10630,10952,11109,11267,11415,11561,11740,11889,12134,12246,12371,12531,NaN,12742,12856
