n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1308.2,1804.6,1966.9,2125.6,2290.4,2427.2,2993.3,3139.8,3265.9,3476.4,3630.7,3746.7,3930.7,4082.1,4236.6,NaN,NaN,4573.8,NaN,4767,4919.4,5086.7,5305.8,5520,5665.2,5775.3,5964.8,6110.8,6277.7,NaN,NaN,6604.3,NaN,6794,6949.7,7119.5,7335,7458.5,7570.4,7775,7921.1,8033.3,8220.7,8370.6,8540.6,NaN,NaN,8868.8,NaN,9062.2,9215.4,9390.7,9608.1,9730.4,9846
1345.8,1842.5,2036.1,2192.3,2359.3,2533.8,3085.3,3210.5,3382.8,3545,3700.9,3861.2,4029.5,4179.3,NaN,NaN,4503.3,NaN,4717,4867.7,5015.4,5263.3,5375.9,5590.1,5738.7,5895.9,6058.3,6209.9,NaN,NaN,6529.3,NaN,6749.8,6909.5,7059.3,7296.2,7405.5,7529.5,7691.2,7844.1,7996.4,8148.9,8318.7,8464.1,NaN,NaN,8792.2,NaN,9014.8,9157.8,9313.8,9566.5,9699.2,9806.4,9966.1
