n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x
1991.2,2197.9,2326.5,2588.3,2777.9,2902.8,3124.7,3278.4,3439.2,NaN,NaN,3778.8,NaN,3983.1,4140.2,4310.2,4530.7,4660.2,4771.8,4981.7,5129.3,5242.8,5433.7,5589.4,5753,NaN,NaN,6091.7,NaN,6290.4,6451.9,6631.2,6851.7,6981.8,7095.7,7276.2,NaN,7472.1,7630.4,7801.4,8023.8,8150.1,8265.8,8450.4,NaN,8650.1,8807.6,8976.8,9201.7,9337.6,9451.2,9635.6,9791.1,9952.2,NaN,NaN,10293,NaN,10492,10654,10822,11040,11173,11285,11478,NaN,11677,11841,12020,12245,12379,12494,12680,NaN,12883,13042,13236,NaN,NaN,13603,13754,13868,14052,NaN,14252,14415,14592,14818,14949,15074,15293,15449,15568,15756,15916
2064.1,2258.1,2443.2,2661.3,2863.9,3029,3232.5,3377.2,NaN,NaN,3696.1,NaN,3928.5,4091.7,4239.9,4494.6,4607.3,4738.3,4897.4,5058.1,5207.3,5370.5,5540.9,5691.2,NaN,NaN,6013.7,NaN,6245.2,6396.8,6555.4,6815.6,6928.3,7058.5,7217.7,NaN,7428,7579.4,7732.8,7986.8,8102.6,8229.5,8393,NaN,8602.3,8750.9,8908.4,9159.8,9277.7,9415.8,9577.8,9741.8,9894.1,NaN,NaN,10215,NaN,10445,10604,10759,11004,11119,11252,11413,NaN,11632,11784,11943,12204,12323,12458,12618,NaN,12830,12987,13146,NaN,NaN,13488,13679,13834,13996,NaN,14203,14359,14515,14776,14896,15027,15196,15369,15525,15691,15861,16022
