n,n,g,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n
1838.8,1965.3,3185.5,3345.8,3497.8,3784.9,3966.6,4099.1,4457.3,4646,4768,4985.5,5148.8,5270.4,5459.4,5609.8,5777.3,NaN,NaN,6129.3,NaN,6322.8,6481.9,6655.7,6868.5,6999.2,7110.8,7317,7456.9,7578.8,7767.9,7921.5,8110.7,NaN,NaN,8444.8,NaN,8639.5,8795.9,8990,9210.9,9334.7,9447.1,9663.3,9809,9924.6,10127,10288
1900,2088.1,3239.1,3427.1,3570.3,3862.7,4026.7,4203.7,4528,4715.5,4890.9,5082.4,5219.8,5387.7,5554.2,5707.6,NaN,NaN,6029.6,NaN,6273.3,6429.3,6577.7,6833.2,6942,7073,7231.6,7390.7,7532.3,7703.3,7869.4,8020.8,NaN,NaN,8366.5,NaN,8588.4,8738.8,8892.9,9170.1,9276.3,9406.1,9569.8,9749.3,9883.2,10046,10197,10354
