n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p
1980.8,2140.6,2276.9,2534.5,2754.9,2881.9,3112.4,3290.1,3406.6,3607.3,3756.3,3916.8,NaN,NaN,4251.3,NaN,4444,4599.5,4768.8,4982.1,5107.6,5219,5435.7,5582.7,5694.6,5882.8,6035.3,6189.1,NaN,NaN,6511.6,NaN,6707.5,6861.3,7030.2,7338.7,7481.6,7595,7776.9,7931.3,8092.4,NaN,NaN
2067.5,2206.8,2381.8,2605,2824.6,2992.2,3180.7,3362.5,3522.9,3708.7,3850.1,NaN,NaN,4163.2,NaN,4395.3,4542.5,4694.3,4941.7,5052.3,5177.7,5340.9,5503.3,5658.5,5812,5983,6128.1,NaN,NaN,6445.2,NaN,6659,6821.4,6955.4,7210.8,7406.4,7556.1,7714.9,7884.2,8027.5,NaN,NaN,8360.3
