c,n,n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
2531.9,2695.9,2868.3,3049.1,3316.6,3506.2,3625.3,3880.2,4355.5,4511.2,4624.2,4800.9,4949.7,5105.4,NaN,NaN,5443.8,NaN,5632.2,5785.8,5956.1,6172.2,6299.5,6408.5,6605.9,6749.1,6862.3,7052.9,7205.2,7363.6,NaN,NaN,7689.5,NaN,7881.7,8035.9,8206.4,8426.3,8550.5,8659.2,8843.2,NaN,9036.8,9193.4,9360.3,NaN,NaN,9684.8,NaN,9876.7,10032,10197,10413,10537,10647,10853,10988,11099,11280,NaN,11474,11632,11797,12016,12141,12251,12451,12588,12699,12882,13035,13200,NaN,NaN,13542,NaN,13739,13898
2572.2,2757.4,2947.4,3108.4,3389,3573.4,3732,3949.9,4432.7,4581.3,4739.4,4898.1,5047.5,NaN,NaN,5359.1,NaN,5586.4,5728.3,5882,6135,6247.2,6371.2,6528.9,6678.2,6822.1,6977.8,7153.6,7303.2,NaN,NaN,7615.7,NaN,7835.2,7983.1,8137.4,8387.3,8499.5,8625,8782.2,NaN,8989.2,9162.2,9295.8,NaN,NaN,9613.3,NaN,9829.6,9992.3,10130,10371,10484,10609,10763,10923,11068,11220,NaN,11427,11580,11730,11975,12089,12213,12370,12538,12661,12821,12984,13136,NaN,NaN,13459,NaN,13688,13840,13999
