n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
2057,2211.3,2369,2501.9,3196.4,3343.3,3464.5,3681.6,3857.5,3977.7,4170.3,4320.7,4486.1,NaN,NaN,4832.7,NaN,5030.1,5187.6,5386.8,NaN,NaN,5727.6,NaN,5922.7,6080.7,6277.6,6496.3,6625.4,6741.5,6960.8,7124,7240,7458.6,7602.1,7713.8,7896.2,8050.2,8209,NaN,NaN,8553.8,NaN,8752.1,8914.7,9087,9389.6,9531.5,9645.9,9824.8,NaN,10022,10183,10362,10590,10715,10828,11059
2120.1,2272.1,2431,2602.6,3287,3408.2,3575.4,3753.3,3931.3,4093,4268.8,4417.6,NaN,NaN,4739.4,NaN,4976.7,5134.5,5286.4,NaN,NaN,5639.1,NaN,5872.2,6022.7,6180,6453.5,6570.4,6697.6,6860.1,7036.1,7202.7,7359.5,7529.9,7675.6,7830,8002.3,8150.5,NaN,NaN,8473.2,NaN,8700.2,8861.7,9011.7,9262.2,9465.2,9607,9766.8,NaN,9972.7,10131,10282,10545,10660,10786,10950,11127
