n,n,n,n,n,n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p
1987.8,2905.1,3147.1,3578.3,3764.3,3949.4,4129.5,4516.1,4656.9,4820.6,4980.8,5144.2,5446,5585.8,5758.3,5884.2,6129.2,6292.6,6423.9,6621.7,6778.3,6940.3,NaN,NaN,7283.9,NaN,7484.2,7642.4,7818.4,8039.6,8163.2,8281,8482.4,8640,8753.9,8950,9106.7,9278.1,NaN,NaN,9617.7,NaN,9814.6,9976,10145,10367,10499,10624,10841,10982,11096,11279,11433,11616,NaN,NaN,11949,NaN,12146,12303,12481,12698,12824,12937,13127,NaN,13322,13480,13651,NaN,NaN,14001,14137,14250,14460,14611,14722,14904,15062,15233,15454,15577,15692,15879,NaN,16078,16243,16414,NaN,NaN
2035.5,2945.6,3182.4,3617,3830.7,4019.6,4201.1,4574.2,4738.4,4884.4,5042.6,5250,5525.2,5664.4,5828.1,5992.5,6204.7,6363.8,6543.6,6726.5,6876.7,NaN,NaN,7200,NaN,7435.5,7590.9,7739.3,8000.3,8113.1,8244.2,8404.3,8553.9,8718.7,8874.8,9051.3,9208,NaN,NaN,9531.9,NaN,9759.9,9915.8,10076,10328,10438,10578,10742,10917,11062,11222,11379,11534,NaN,NaN,11872,NaN,12099,12248,12402,12660,12773,12901,13059,NaN,13275,13424,13578,NaN,NaN,13905,14071,14214,14375,14533,14688,14842,15008,15161,15414,15529,15656,15816,NaN,16025,16188,16340,NaN,NaN,16671
