n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x
1966.5,2140.5,2271.2,2521.9,2682.7,2815.9,3236.5,3427.4,3562.4,3794.8,3963,4086.2,4265.9,4419.3,4574,NaN,NaN,4915.6,NaN,5119.1,5269,5452.5,5805.3,5954.4,6069,6260.6,6414.8,6572.5,NaN,NaN,6898.7,NaN,7097.9,7257.2,7421.6,7643.3,8486.7,8631.8,8744,8927,9079.6
2018.6,2208.8,2348.6,2583.2,2746.6,2913.8,3305.7,3494.2,3668.8,3863.4,4037.2,4201,4368.2,4514,NaN,NaN,4824.9,NaN,5061.8,5194,5362.4,5630.8,5878.8,6030.9,6189.4,6362.4,6511.9,NaN,NaN,6824.2,NaN,7044.6,7206.6,7352.8,7602.6,7713,8558.1,8703.5,8865,9030.6,9182.3
