n,n,n,n,e,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
2564.9,2719.2,2865.5,3026.2,3164.3,3903.5,4176.3,4374.6,4540.2,4657.5,4838.9,4990.9,5152.8,NaN,NaN,5472.5,NaN,5666.7,5821.9,5987.8,6205.1,6328.1,6447,6651.8,6786.3,6902.4,7085.8,7239.1,7403.7,NaN,NaN,7752.2,NaN,7946.9,8106.2,8287.4,8511.2,8639.2,8752.6,8942.9,9099.3,9263.7,NaN,NaN,9620.6,9758.5,9870.9,10059,NaN,10253,10412,10593,10683,10922,NaN,11120,11279,11456,11680,11803,11915,12113,12253,12365,12546,12702,12877,NaN,NaN,13217,NaN,13413,13575
2617.8,2788.2,2931.8,3090.2,3271.3,4129.3,4292.7,4442.5,4612.9,4774.6,4940.2,5090.4,NaN,NaN,5404.8,NaN,5616.5,5769,5927.7,6164.5,6272.9,6402.4,6567.2,6722,6861.8,7022.2,7191,7335.2,NaN,NaN,7660.9,NaN,7894.3,8051.2,8204.9,8466.9,8581.2,8717,8877.3,9046.2,9200.2,NaN,NaN,9518.3,9689.6,9836.8,9995.9,NaN,10204,10351,10540,10661,10837,NaN,11070,11224,11377,11635,11750,11877,12037,12187,12328,12487,12641,12801,NaN,NaN,13137,NaN,13363,13513,13671
