n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g
1966.2,2114,2332.8,2497.5,2672.5,2806.3,3148.9,3323.2,3445.2,3635,3787.8,3941.2,NaN,NaN,4264.6,NaN,4460.4,4617.1,4790.5,5007.4,5129.8,5243,5437.2,5576.9,5687.5,5866.6,6021.9,6183.1,NaN,NaN,6514.9,NaN,6708.7,6862.7,7033.8,7251,7373.7,7489.1,7695.1,7839,7951.5,8162.5,8307,8421.9,8602.7,8758.5,8940.7,NaN,NaN,9278.1,NaN,9476.6,9637,9809.9,10027,10152,10268,10477,10639,10752,10934,11088,11227
2027.5,2178.5,2417.1,2570.9,2742.8,2913.4,3223.8,3400.8,3567.3,3734.6,3881.9,NaN,NaN,4198.4,NaN,4412.4,4558.4,4713.5,4971.2,5078,5206.8,5365.2,5508.5,5652.7,5808.2,5969.5,6118.4,NaN,NaN,6439.8,NaN,6658.2,6805.1,6960.2,7211,7332.3,7448.6,7609.9,7769.7,7918,8073.8,8244.2,8382.9,8539.6,8707.8,8856.5,NaN,NaN,9201,NaN,9429.2,9586.8,9732.6,9988.4,10102,10236,10385,10554,10715,10872,11036,11187,11263
