n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1796.2,1963.2,2114.3,2273.7,2546.1,2705.4,2863.3,3109.9,3300.2,3457.5,4445,4617.9,4732.5,4966.4,5149.6,5278.6,5468.3,5623.3,5783.5,NaN,NaN,6115.2,NaN,6311.2,6470.2,6657.2,6874.2,7001.6,7116.2,7315.2,7478.7,7595.5,7782,7934.8,8101.2,NaN,NaN,8437.9,NaN,8633,8791.3,8978.4,9199.1,9328.4,9444.7,9655.7,9800.1,9913.6,10102,10255,10421,NaN,NaN,10756,NaN,10949,11121,11295,11514,11639,11753,11961
1833.9,2018.2,2180.5,2308.8,2626.4,2785.7,2933.3,3178.1,3343.6,3562.3,4514.7,4690.8,4844.7,5044.1,5224.8,5399,5571.3,5714.3,NaN,NaN,6044.9,NaN,6260.9,6411.5,6566.4,6833.5,6948.4,7074.2,7239.6,7389.1,7556.8,7720.4,7878.7,8030.4,NaN,NaN,8353.2,NaN,8583.7,8736.7,8888.8,9154.8,9270.1,9405.9,9562.9,9730.7,9877.6,10035,10203,10354,NaN,NaN,10676,NaN,10900,11054,11219,11477,11584,11714,11879,12035
